style_notes,style,color,season,occasion,image_url
Cozy beige knit sweater with plaid scarf and jeans,Sweater,Beige,Autumn,Casual,https://i.pinimg.com/736x/77/2c/88/772c88453a2de4432993705c9b2f2e53.jpg
Red off-shoulder dress perfect for a sunset dinner,Dress,Red,Summer,Date,https://i.pinimg.com/736x/f7/96/5a/f7965af9e7ec7b01fd3650f18e2eb320.jpg
Sleek black blazer with trousers and ankle boots,Blazer,Black,Winter,Business,https://i.pinimg.com/736x/88/f3/e4/88f3e4ea8e1e1a5f787d0837aef7fdcf.jpg
Light pink flowy skirt with tucked-in white blouse,Skirt,Pink,Spring,Casual,https://i.pinimg.com/736x/e5/d9/56/e5d956fc78bc08d15ae7fc5a0f5e9b6f.jpg
Long gray wool coat with gloves and knee-high boots,Coat,Gray,Winter,Formal,https://i.pinimg.com/736x/f9/9f/07/f99f077c81fc77fc3c2a7b4de3f55aa4.jpg
Navy jumpsuit with open back and chunky heels,Jumpsuit,Navy,Summer,Party,https://i.pinimg.com/736x/9b/e2/4a/9be24ab8ff21a5df7b3b61d25e0b0597.jpg
Slouchy brown cardigan over striped tee and boots,Cardigan,Brown,Autumn,Casual,https://i.pinimg.com/736x/e4/7b/26/e47b266f8f6c8071d09793a6a7eb7480.jpg
Elegant white lace gown for formal occasions,Gown,White,Spring,Formal,https://i.pinimg.com/736x/f3/3b/c8/f33bc858b6f6b0c3fa1b7f38fa2f4d16.jpg
Bright yellow romper with rattan sandals and sunglasses,Romper,Yellow,Summer,Vacation,https://i.pinimg.com/736x/20/1b/c9/201bc93b02e271850bb4a808cf9c8ee6.jpg
Olive green blouse with tailored pants and heels,Blouse,Green,Autumn,Business,https://i.pinimg.com/736x/45/f6/6f/45f66f1d1959d4df84d916d6586ec8c4.jpg
